127.0.0.1, 2015-06-25 09:44:41, GET, /rpctest/static/images/facebook.png, HTTP/1.1, 200, 0.000577
127.0.0.1, 2015-06-25 09:44:41, GET, /rpctest/static/images/gplus-32.png, HTTP/1.1, 200, 0.001135
127.0.0.1, 2015-06-25 09:44:41, GET, /rpctest/static/images/twitter.png, HTTP/1.1, 200, 0.001684
127.0.0.1, 2015-06-25 09:44:41, GET, /rpctest/static/images/favicon.ico, HTTP/1.1, 200, 0.000554
127.0.0.1, 2015-06-25 09:44:53, GET, /admin/default/site, HTTP/1.1, 200, 0.040449
127.0.0.1, 2015-06-25 09:44:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000297
127.0.0.1, 2015-06-25 09:44:59, GET, /admin/default/design/rpctest, HTTP/1.1, 200, 0.091261
127.0.0.1, 2015-06-25 09:45:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000321
127.0.0.1, 2015-06-25 09:45:23, POST, /admin/default/create_file, HTTP/1.1, 303, 0.029926
127.0.0.1, 2015-06-25 09:45:23, GET, /admin/default/design/rpctest, HTTP/1.1, 200, 0.089775
127.0.0.1, 2015-06-25 09:45:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000341
127.0.0.1, 2015-06-25 09:45:26, GET, /admin/default/edit/rpctest/controllers/rpctest.py, HTTP/1.1, 200, 0.050241
127.0.0.1, 2015-06-25 09:45:26, GET, /admin/static/_2.11.2/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.002389
127.0.0.1, 2015-06-25 09:45:26, GET, /admin/static/_2.11.2/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.000532
127.0.0.1, 2015-06-25 09:45:26, GET, /admin/static/_2.11.2/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.002970
127.0.0.1, 2015-06-25 09:45:26, GET, /admin/static/_2.11.2/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.002203
127.0.0.1, 2015-06-25 09:45:26, GET, /admin/static/_2.11.2/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.002358
127.0.0.1, 2015-06-25 09:45:26, GET, /admin/static/_2.11.2/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.003065
127.0.0.1, 2015-06-25 09:45:26, GET, /admin/static/_2.11.2/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.000815
127.0.0.1, 2015-06-25 09:45:26, GET, /admin/static/_2.11.2/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.000499
